,1/4/20,3/4/20,population
Adana,197.0,241.0,2237940.0
Adıyaman,26.0,32.0,626465.0
Afyonkarahisar,11.0,18.0,729483.0
Aksaray,4.0,5.0,416367.0
Amasya,24.0,38.0,337800.0
Ankara,712.0,860.0,5639076.0
Antalya,95.0,102.0,2511700.0
Ardahan,5.0,5.0,97319.0
Artvin,15.0,20.0,170875.0
Aydın,12.0,20.0,1110972.0
Ağrı,29.0,31.0,536199.0
Balıkesir,87.0,106.0,1228620.0
Bartın,8.0,9.0,198249.0
Batman,7.0,9.0,608659.0
Bayburt,18.0,23.0,84843.0
Bilecik,5.0,16.0,219427.0
Bingöl,8.0,10.0,279812.0
Bitlis,22.0,22.0,348115.0
Bolu,6.0,19.0,316126.0
Burdur,2.0,3.0,270796.0
Bursa,135.0,259.0,3056120.0
Denizli,81.0,86.0,1037208.0
Diyarbakır,26.0,46.0,1756353.0
Düzce,21.0,32.0,392166.0
Edirne,89.0,91.0,413903.0
Elazığ,9.0,12.0,591098.0
Erzincan,17.0,15.0,234747.0
Erzurum,86.0,79.0,762062.0
Eskişehir,83.0,118.0,887475.0
Gaziantep,37.0,49.0,2069364.0
Giresun,61.0,73.0,448400.0
Gümüşhane,12.0,12.0,164521.0
Hakkari,2.0,,280991.0
Hakkâri,,2.0,
Hatay,22.0,32.0,1628894.0
Isparta,268.0,289.0,444914.0
Iğdır,25.0,26.0,199442.0
Kahramanmaraş,15.0,28.0,1154102.0
Karabük,10.0,20.0,248458.0
Karaman,12.0,14.0,253279.0
Kars,25.0,18.0,285410.0
Kastamonu,13.0,26.0,379405.0
Kayseri,109.0,130.0,1407409.0
Kilis,16.0,17.0,142490.0
Kocaeli,410.0,500.0,1953035.0
Konya,584.0,601.0,2232374.0
Kütahya,5.0,5.0,579257.0
Kırklareli,35.0,49.0,361836.0
Kırıkkale,22.0,23.0,283017.0
Kırşehir,4.0,7.0,242938.0
Malatya,49.0,66.0,800165.0
Manisa,65.0,100.0,1440611.0
Mardin,34.0,51.0,838778.0
Mersin,9.0,17.0,1840425.0
Muğla,43.0,46.0,983142.0
Muş,11.0,14.0,408809.0
Nevşehir,18.0,27.0,303010.0
Niğde,3.0,12.0,362861.0
Ordu,73.0,88.0,754198.0
Osmaniye,31.0,47.0,538759.0
Rize,88.0,101.0,343212.0
Sakarya,207.0,337.0,1029650.0
Samsun,112.0,167.0,1348542.0
Siirt,32.0,44.0,330280.0
Sinop,31.0,35.0,218243.0
Sivas,67.0,80.0,638956.0
Tekirdağ,101.0,121.0,1055412.0
Tokat,80.0,90.0,612747.0
Trabzon,74.0,87.0,808974.0
Tunceli,6.0,6.0,84660.0
Uşak,38.0,40.0,370509.0
Van,26.0,24.0,1136757.0
Yalova,46.0,64.0,270976.0
Yozgat,13.0,15.0,421200.0
Zonguldak,112.0,197.0,596053.0
Çanakkale,24.0,30.0,542157.0
Çankırı,13.0,25.0,195789.0
Çorum,29.0,35.0,530864.0
İstanbul,8852.0,12231.0,15519267.0
İzmir,853.0,1105.0,4367251.0
Şanlıurfa,11.0,18.0,2073614.0
Şırnak,3.0,9.0,529615.0
